"F:\Program Files (x86)\SteamLibrary\steamapps\common\dota 2 beta\game\bin\win64\dota2.exe" -addon all_deathmatch -tools -steam -4gb

f:\program files (x86)\steamlibrary\steamapps\common\dota 2 beta\game\dota_addons\all_deathmatch\elements\sessions\sessionfinal.dmx#0

1280x720 @24.00 fps
motion blur samples:    per-camera settings
depth of field samples: 64

Frame  	Frame  	Total  	Shot                   	Map                    	DoF    	MBlur  	Total
Number 	Time   	Time   	Name                   	Name                   	Count  	Count  	Count
    309	  1.378	    464	shot1                 	map                   	   64	    8	   64
    310	  1.389	    466	shot1                 	map                   	   64	    8	   64
    311	  1.335	    467	shot1                 	map                   	   64	    8	   64
    312	  1.299	    468	shot1                 	map                   	   64	    8	   64
    313	  1.311	    469	shot1                 	map                   	   64	    8	   64
    314	  1.365	    471	shot1                 	map                   	   64	    8	   64
    315	  1.325	    472	shot1                 	map                   	   64	    8	   64
    316	  1.292	    473	shot1                 	map                   	   64	    8	   64
    317	  1.369	    475	shot1                 	map                   	   64	    8	   64
    318	  1.346	    476	shot1                 	map                   	   64	    8	   64
    319	  1.323	    477	shot1                 	map                   	   64	    8	   64
    320	  1.398	    479	shot1                 	map                   	   64	    8	   64
    321	  1.323	    480	shot1                 	map                   	   64	    8	   64
    322	  1.362	    482	shot1                 	map                   	   64	    8	   64
    323	  1.389	    483	shot1                 	map                   	   64	    8	   64
    324	  1.360	    484	shot1                 	map                   	   64	    8	   64
    325	  1.309	    486	shot1                 	map                   	   64	    8	   64
    326	  1.305	    487	shot1                 	map                   	   64	    8	   64
    327	  1.307	    488	shot1                 	map                   	   64	    8	   64
    328	  1.301	    490	shot1                 	map                   	   64	    8	   64
    329	  1.370	    491	shot1                 	map                   	   64	    8	   64
    330	  1.342	    492	shot1                 	map                   	   64	    8	   64
    331	  1.307	    494	shot1                 	map                   	   64	    8	   64
    332	  1.329	    495	shot1                 	map                   	   64	    8	   64
    333	  1.291	    496	shot1                 	map                   	   64	    8	   64
    334	  1.286	    497	shot1                 	map                   	   64	    8	   64
    335	  1.331	    499	shot1                 	map                   	   64	    8	   64
    336	  1.348	    500	shot1                 	map                   	   64	    8	   64
    337	  1.344	    501	shot1                 	map                   	   64	    8	   64
    338	  1.295	    503	shot1                 	map                   	   64	    8	   64
    339	  1.368	    504	shot1                 	map                   	   64	    8	   64
    340	  1.314	    505	shot1                 	map                   	   64	    8	   64
    341	  1.318	    507	shot1                 	map                   	   64	    8	   64
    342	  1.311	    508	shot1                 	map                   	   64	    8	   64
    343	  1.290	    509	shot1                 	map                   	   64	    8	   64
    344	  1.321	    511	shot1                 	map                   	   64	    8	   64
    345	  1.342	    512	shot1                 	map                   	   64	    8	   64
    346	  1.376	    513	shot1                 	map                   	   64	    8	   64
    347	  1.355	    515	shot1                 	map                   	   64	    8	   64
    348	  1.365	    516	shot1                 	map                   	   64	    8	   64
    349	  1.390	    518	shot1                 	map                   	   64	    8	   64
    350	  1.385	    519	shot1                 	map                   	   64	    8	   64
    351	  1.332	    520	shot1                 	map                   	   64	    8	   64
    352	  1.320	    522	shot1                 	map                   	   64	    8	   64
    353	  1.392	    523	shot1                 	map                   	   64	    8	   64
    354	  1.340	    524	shot1                 	map                   	   64	    8	   64
    355	  1.340	    526	shot1                 	map                   	   64	    8	   64
    356	  1.362	    527	shot1                 	map                   	   64	    8	   64
    357	  1.369	    528	shot1                 	map                   	   64	    8	   64
    358	  1.438	    530	shot1                 	map                   	   64	    8	   64
    359	  1.357	    531	shot1                 	map                   	   64	    8	   64
    360	  1.272	    532	shot1                 	map                   	   64	    8	   64
    361	  1.308	    534	shot1                 	map                   	   64	    8	   64
    362	  1.362	    535	shot1                 	map                   	   64	    8	   64
    363	  1.340	    536	shot1                 	map                   	   64	    8	   64
    364	  1.393	    538	shot1                 	map                   	   64	    8	   64
    365	  1.383	    539	shot1                 	map                   	   64	    8	   64
    366	  1.455	    541	shot1                 	map                   	   64	    8	   64
    367	  1.319	    542	shot1                 	map                   	   64	    8	   64
    368	  1.373	    543	shot1                 	map                   	   64	    8	   64
    369	  1.289	    545	shot1                 	map                   	   64	    8	   64
    370	  1.377	    546	shot1                 	map                   	   64	    8	   64
    371	  1.381	    547	shot1                 	map                   	   64	    8	   64
    372	  1.309	    549	shot1                 	map                   	   64	    8	   64
    373	  1.336	    550	shot1                 	map                   	   64	    8	   64
    374	  1.444	    552	shot1                 	map                   	   64	    8	   64
